tmdb_id,imdb_id,title,original_language,release_year,overview,genres,vote_average,vote_count,poster_url
617924,tt10121372,Roger Waters: Us + Them,en,2019.0,"Filmed in Amsterdam on the European leg of his 2017 – 2018 Us + Them tour which saw Waters perform to over two million people worldwide, the film features songs from his legendary Pink Floyd albums (The Dark Side of the Moon, The Wall, Animals, Wish You Were Here) and from his last album, Is This The Life We Really Want?","Music, Documentary",7.8,52,https://image.tmdb.org/t/p/w500/h5iaU213fe4cV5hiw2FR6c8YCe1.jpg
60897,tt1810633,"Happiness Is a Warm Blanket, Charlie Brown",en,2011.0,Linus is pushed to his limits when he learns Grandma is coming to visit and plans on ridding him of his childish security blanket.,"Animation, Comedy, Family",7.1,67,https://image.tmdb.org/t/p/w500/yjRcn8painrtKiOy0zagyAwH4IH.jpg
60898,tt0100014,Erotic Ghost Story,cn,1990.0,"After one thousand years, three vixens transform into humans. They seduce a poor young scholar who soon finds himself in a horrifying situation.","Fantasy, Drama, Horror",6.2,93,https://image.tmdb.org/t/p/w500/fTUCwsxVoLFuodAtlL6aITP1B45.jpg
28120,tt0039286,Crossfire,en,1947.0,"A man is murdered, apparently by one of a group of soldiers just out of the army. But which one? And why?","Crime, Mystery, Thriller",6.673,159,https://image.tmdb.org/t/p/w500/s3EFBiCsc4Ckc1tntoHAEnhZtSO.jpg
781816,tt13758684,Fortune Favors Lady Nikuko,ja,2021.0,"Brash single mother Nikuko is well-known for her bold spirit, much to the embarrassment of Kikuko, her pensive yet imaginative daughter. In contrast to her mother, Kikuko wants nothing more than to fit in as she navigates the everyday social dramas of middle school. Life in the harbor is peaceful until a shocking revelation from the past threatens to uproot the pair's tender relationship.","Animation, Drama, Family, Comedy",7.091,66,https://image.tmdb.org/t/p/w500/ceine994qh3wc5KpQoEp3LAGHOS.jpg
28148,tt0087805,Ninja III: The Domination,en,1984.0,"An aerobics instructor becomes a ruthless assassin after being possessed by a slain ninja's spirit, leading to a showdown with a martial arts expert.","Action, Fantasy, Horror, Thriller",6.092,141,https://image.tmdb.org/t/p/w500/6uUMJelRS3CGFehLyspQOS1R4z6.jpg
1076708,tt26420234,Music by John Williams,en,2024.0,"His unforgettable scores are an essential part of some of the most beloved movies of our time, over a career that spans decades. See and hear maestro John Williams' own story, with insights from filmmakers, musicians, and others he has inspired, complete with rare behind-the-scenes looks at the making of movie history.","Documentary, Music",8.05,80,https://image.tmdb.org/t/p/w500/dIZ3SzuT3YuAWX1fjdxDevbwQBX.jpg
945664,tt15801594,Lighting Up the Stars,zh,2022.0,"Having been released after serving his sentence, a funeral director accidentally crosses paths with a girl which brings about an unexpected change in his attitude towards life.",Drama,7.462,53,https://image.tmdb.org/t/p/w500/xHTGLYpZKfwGJ0lM2NEAmb6DdYi.jpg
847353,tt14632158,The 27-Hour Day,en,2021.0,An entrepreneur takes a necessary break from developing her wellness brand empire and discovers that the work-life balance she needs won’t be easy. Will a new romance and relaxing retreat change her life forever?,"TV Movie, Comedy, Romance, Family",7.1,40,https://image.tmdb.org/t/p/w500/s3K5Tztc7ERzYkZ3hC25x9ekx17.jpg
28134,tt0120823,The Impostors,en,1998.0,"Wrongly accused of physically abusing a fellow actor, starving thespians Arthur and Maurice find themselves pursued by the law aboard a cruise ship.",Comedy,5.9,68,https://image.tmdb.org/t/p/w500/pnL8MvYje9DOZTuTnF04k8RUkSL.jpg
1175038,tt19316408,Stranger in the Woods,en,2024.0,"Olivia and her friends go on a vacation. After Olivia nearly drowns with a slit wrist in her bathtub after her fiancé's funeral, her friends suspect that she tried to kill herself, but she believes someone attacked her.","Horror, Thriller",5.952,124,https://image.tmdb.org/t/p/w500/qcrbiVMOkAaOyha8BqyVDQCTwh6.jpg
60938,tt0049856,Time Without Pity,en,1957.0,"Alec Graham is sentenced to death for the murder of his girlfriend Jennie, with whom he spent a weekend at the English country home of the parents of his friend Brian Stanford. Alec’s father, David Graham, a not-so-successful writer and alcoholic who has neglected his son in the past, flies in from Canada to visit his son on death row. David then goes on a quest to try and clear his son’s name while battling “the bottle.”","Crime, Thriller, Mystery, Drama",6.6,49,https://image.tmdb.org/t/p/w500/3P6XLCD3tGtWTtktfdlGL3fnJ4t.jpg
257512,tt3455204,Detective Conan: Dimensional Sniper,ja,2014.0,"A rash of sniper attacks leaves the streets of Tokyo empty and the public terrified to go outside. It’s up to Conan and his friends to find the culprit, but the case goes deeper than it seems. Military cover-ups, conspiracies and murder abound in this fast-paced, thrilling mystery!","Animation, Action, Drama, Mystery",6.8,131,https://image.tmdb.org/t/p/w500/d08RKnmdcoCwlHOezazli8hmJH6.jpg
